VIN,Make,Year,Model,AutoID,OwnerID,DriveTrain,EngineType,Transmission,ExteriorColor,InteriorColor
I8K5MU1DHDBVGGFFQ,Contoso Motors,2009,SUV,27,822,FWD,4 Cylinder,Automatic,Blazing Gray,Black
XUF99EW9OIQOMV7Q7,Contoso Motors,2011,Minivan,28,28,FWD,6 Cylinder,Automatic,Volcanic Orange,White
T2OG788FMQZNQGVS2,Contoso Motors,2016,SUV,29,870,FWD,4 Cylinder,Automatic,Blazing Gray,Black
UXO8LUK75DYL9WZLK,Contoso Motors,2015,Minivan,30,30,FWD,6 Cylinder,Automatic,Blue,Old Lace
XYDBXU9MA5XXPPQR0,Contoso Motors,2016,Minivan,31,31,FWD,6 Cylinder,Automatic,Silver,Ivory
JF1GH6B60BG81026,Contoso Motors,2017,Convertible 2DR,32,81,RWD,8 Cylinder,Manual,Black,Midnight Black
AVHD2GCOA2NN5ES9J,Contoso Motors,2016,Convertible 2DR,33,85,RWD,6 Cylinder,Automatic,Blazing Gray,Black
ZVTOCRLBYKEB1Y5L9,Contoso Motors,2015,Minivan,34,34,FWD,6 Cylinder,Automatic,White Silver,Smoke White
RXB14GHQFO3PUYKNS,Contoso Motors,2005,Sedan,35,565,AWD,6 Cylinder,Manual,Racing Green,Beige
0125DITL7HX8TYA6T,Contoso Motors,2016,Wagon,36,386,FWD,6 Cylinder,Automatic,Deep Blue,White
5199WY00VHB6G0WDW,Contoso Motors,2016,Sedan,37,770,FWD,6 Cylinder,Manual,Blue,Old Lace
HOVSW338LVHWN2KVR,Contoso Motors,2007,Sedan,38,830,FWD,6 Cylinder,Manual,Blue,Old Lace
BPMFLFF6LNYIOMAVX,Contoso Motors,2005,SUV,39,22,FWD,Electric,Automatic,Blazing Gray,Black
LTZFCUSVPFQ4W7Z4J,Contoso Motors,2007,Truck,40,642,FWD,10 Cylinder,Automatic,Black,Black
6R0Q5GZP90RLBIZSF,Contoso Motors,2004,Truck,41,761,AWD,10 Cylinder,Automatic,Black,Black
8UW5Z294E0NJMJPLJ,Contoso Motors,2015,Wagon,42,530,FWD,6 Cylinder,Automatic,Deep Blue,White
2MVDG47OQ3G5I49FK,Contoso Motors,2013,Wagon,43,770,FWD,6 Cylinder,Automatic,Deep Blue,White
60G4SUPG5KNFU3ZYS,Contoso Motors,2016,Minivan,44,44,FWD,6 Cylinder,Automatic,Deep Blue,Brown
0IBN9W4FLJTNDM6G4,Contoso Motors,2011,Minivan,45,45,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
Q0OIIVH166MJM9SRH,Contoso Motors,2004,SUV,46,280,AWD,6 Cylinder,Automatic,Blazing Gray,Black
1YMDHCCKY6126ZU1K,Contoso Motors,2009,Wagon,47,394,FWD,6 Cylinder,Automatic,Deep Blue,White
9RPS1HJG9D1LBEQQH,Contoso Motors,2011,Truck,48,881,FWD,10 Cylinder,Automatic,Black,Black
0PLKJAYEVRA6NRU0J,Contoso Motors,2011,SUV,49,328,AWD,4 Cylinder,Automatic,Blazing Gray,Black
5PDU8WYEFFGO40HHC,Contoso Motors,2007,Sedan,50,950,FWD,6 Cylinder,Manual,White Silver,Smoke White
962GBB2WZOZXU7OMG,Contoso Motors,2012,Hatchback,51,139,FWD,6 Cylinder,Automatic,Deep Blue,White
YNU5C8YZYT7DOYXQ8,Contoso Motors,2016,Minivan,52,52,FWD,6 Cylinder,Automatic,Volcanic Orange,White
BTV19HPRPU7RWICET,Contoso Motors,2016,SUV,53,398,FWD,Electric,Automatic,Blazing Gray,Black
MHTP9N792PHK08WJM,Contoso Motors,2005,SUV,54,6,AWD,Hybrid,Automatic,Blue,Black
J9RO51ZXXUSHUT13B,Contoso Motors,2012,Commercial,55,502,AWD,8 Cylinder,Automatic,Gray,Dark Gray
UE6D2HW9H7KUFMFFO,Contoso Motors,2015,Convertible 2DR,56,56,AWD,6 Cylinder,Automatic,Deep Blue,Brown
HKTHWDDMML03RMZPR,Contoso Motors,2013,Coupe,57,267,RWD,4 Cylinder,Manual,Midnight Black,Silverstone
W7ZXWIK8O86SZGH9G,Contoso Motors,2013,Hybrid,58,58,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
9T9VSN0FI93R6HTIT,Contoso Motors,2014,Truck,59,1,AWD,10 Cylinder,Automatic,Black,Black
HHP8M4ES04246X7B6,Contoso Motors,2007,Hatchback,60,147,AWD,6 Cylinder,Automatic,Deep Blue,White
H0BRZNH49CP43HKN1,Contoso Motors,2005,Sedan,61,10,FWD,6 Cylinder,Manual,White Silver,Smoke White
UHK4NJMODN4CJ8N1Q,Contoso Motors,2013,Sedan,62,154,FWD,6 Cylinder,Manual,Thunder Gray,Gray
GTL07WURKAEBZO7KO,Contoso Motors,2007,Sedan,63,214,AWD,6 Cylinder,Manual,Thunder Gray,Gray
92S177DVXRBE1PK45,Contoso Motors,2016,Hatchback,64,523,AWD,6 Cylinder,Automatic,Deep Blue,White
OIERM0565QG99HAN9,Contoso Motors,2015,Truck,65,266,AWD,10 Cylinder,Automatic,Black,Black
7O2VKAE0FELJG5ELK,Contoso Motors,2016,Truck,66,650,AWD,10 Cylinder,Automatic,Black,Black
UXXQX95MAJ1FHJRFA,Contoso Motors,2011,Coupe,67,651,AWD,4 Cylinder,Manual,Chili Red,Black
A3FQXISX6GIN2G6M2,Contoso Motors,2013,Hybrid,68,68,FWD,Hybrid,Semi-automatic,Deep Blue,Brown
3BY5XUUAB7MS5BOUQ,Contoso Motors,2013,SUV,69,54,AWD,4 Cylinder,Automatic,Blue,Black
926ORRXDY9J83POLE,Contoso Motors,2012,Commercial,70,535,AWD,8 Cylinder,Automatic,Gray,Dark Gray
V5UOQH37Z6ZUQEVOA,Contoso Motors,2013,Convertible 2DR,71,71,FWD,3 Cylinder,Automatic,Racing Green,Beige
EMUKPWIQTTZ8XDAKV,Contoso Motors,2007,SUV,72,534,AWD,6 Cylinder,Automatic,Blue,Black
A1LCTSY2WHBDL4RXY,Contoso Motors,2005,SUV,73,582,FWD,10 Cylinder,Automatic,Blue,Black
ZPGYKO3SW7RC58YUZ,Contoso Motors,2015,Minivan,74,74,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
K0GMEOI4V7EHGGAR6,Contoso Motors,2009,SUV,75,734,FWD,4 Cylinder,Automatic,Blue,Black
UOUFX6BWC4G2NU4OA,Contoso Motors,2013,Minivan,76,76,FWD,6 Cylinder,Automatic,Volcanic Orange,White
XF1QTSNCM8M3SKNRX,Contoso Motors,2016,SUV,77,782,FWD,Hybrid,Automatic,Blue,Black
HOE5ERNKHQA06CAL9,Contoso Motors,2015,Minivan,78,78,FWD,6 Cylinder,Automatic,Blue,Old Lace
ST95EH8B8NNG34EE3,Contoso Motors,2013,Minivan,79,79,FWD,6 Cylinder,Automatic,Silver,Ivory
TEE607XTPSEPGIOW0,Contoso Motors,2004,Minivan,80,80,FWD,6 Cylinder,Automatic,Deep Blue,Brown
SNCE1JI16ORA8TZJ6,Contoso Motors,2015,Minivan,81,81,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
JCGOM1OM7DNYJW6Y9,Contoso Motors,2007,Minivan,82,82,FWD,6 Cylinder,Automatic,White Silver,Smoke White
HW67MDOKG6X824CLF,Contoso Motors,2010,Sedan,83,334,FWD,6 Cylinder,Manual,Blue,Old Lace
HYP1FSUQ6NQUMLBE5,Contoso Motors,2006,Hatchback,84,575,FWD,6 Cylinder,Automatic,Deep Blue,White
6QSTEN3L3M3CZWPKO,Contoso Motors,2015,Sedan,85,394,AWD,6 Cylinder,Manual,Blue,Old Lace
W0RXEHZ32SJB3VDX4,Contoso Motors,2014,Sedan,86,573,AWD,6 Cylinder,Manual,Midnight Black,Silverstone
RY3FMAG69XTBL0KTX,Contoso Motors,2015,SUV,87,992,RWD,4 Cylinder,Automatic,Blue,Black
9QATZSVHST426DAG1,Contoso Motors,2004,Truck,88,889,FWD,10 Cylinder,Automatic,Black,Black
CP6TW23WUH9ZHH8GT,Contoso Motors,2015,Convertible 2DR,89,820,RWD,8 Cylinder,Manual,Chili Red,Red
VXE1D06K67MWOWEJ3,Contoso Motors,2016,Convertible 2DR,90,822,RWD,8 Cylinder,Automatic,Racing Green,Black
GHRJAC7PDRUQ960AF,Contoso Motors,2014,Convertible 2DR,91,848,RWD,8 Cylinder,Manual,White Silver,Gray
449PLM0RCNHZ6YHO5,Contoso Motors,2015,Convertible 2DR,92,888,RWD,8 Cylinder,Automatic,Black,Black
Q7HBIZ6T7172QJP0U,Contoso Motors,2016,Convertible 2DR,93,800,RWD,8 Cylinder,Manual,Blue,Dark Gray
90LR6IH70DMQNV245,Contoso Motors,2016,Convertible 2DR,94,801,RWD,8 Cylinder,AUtomatic,Volcanic Orange,Black
G45XN4SW529YCKBST,Contoso Motors,2013,Hatchback,95,959,AWD,6 Cylinder,Automatic,Deep Blue,White
Z94AOEKMF6Q9K32LQ,Contoso Motors,2011,Truck,96,129,FWD,10 Cylinder,Automatic,Black,Black
4ZV9MBVJL7K1540ZL,Contoso Motors,2011,SUV,97,41,AWD,Hybrid,Automatic,Blue,Black
JB5IZCJJCS4DSPQQM,Contoso Motors,2007,Sedan,98,693,FWD,6 Cylinder,Manual,Racing Green,Beige
6XXVJMY80S4CHSUKW,Contoso Motors,2015,Wagon,99,2,FWD,6 Cylinder,Automatic,Deep Blue,White
6QLISR018O06X8K44,Contoso Motors,2015,Minivan,100,100,FWD,6 Cylinder,Automatic,Blue,Old Lace
L6JHAWNP1IXGNF0SP,Contoso Motors,2004,Crossover,101,43,AWD,Hybrid,Automatic,Blue,Black
YQIIQJAOQW46KX2KS,Contoso Motors,2007,Crossover,102,45,AWD,Hybrid,Automatic,Blue,Black
MYVBR1ANM44W9A8ZN,Contoso Motors,2012,Commercial,103,598,AWD,8 Cylinder,Automatic,Gray,Dark Gray
OXPVYJT8F5CV0QETY,Contoso Motors,2016,Convertible 2DR,104,104,FWD,Hybrid,Automatic,White Silver,Smoke White
FO6IFCLO0J6QWI428,Contoso Motors,2016,Coupe,105,275,FWD,4 Cylinder,Manual,Silver,Ivory
HQ966AF5RI70ST3Y6,Contoso Motors,2013,Hybrid,106,106,FWD,Hybrid,Semi-automatic,Blazing Gray,Nutmeg
X41MAQ673N3V5XWEG,Contoso Motors,2015,Truck,107,274,FWD,10 Cylinder,Automatic,Black,Black
OBY5PK2DEXG66GXJG,Contoso Motors,2007,Hatchback,108,11,FWD,6 Cylinder,Automatic,Deep Blue,White
VHA71CU9U064O5HEE,Contoso Motors,2016,Sedan,109,958,FWD,6 Cylinder,Manual,Blue,Old Lace
84CFOIJACQGPF9ZDL,Contoso Motors,2007,Sedan,110,18,FWD,6 Cylinder,Manual,Deep Blue,Brown
CLARVXUPYK83L0UMN,Contoso Motors,2013,Sedan,111,78,AWD,6 Cylinder,Manual,White Silver,Smoke White
VJ5B73VXKJGZWDG0B,Contoso Motors,2006,Hatchback,112,147,FWD,6 Cylinder,Automatic,Deep Blue,White
N2S4F51PGIFY8KK2Z,Contoso Motors,2007,Truck,113,395,FWD,12 Cylinder,Automatic,Black,Black
XZQSSPJVU0SM7MLWL,Contoso Motors,2004,Truck,114,635,AWD,12 Cylinder,Automatic,Black,Black
XMMHB1HUHLP2FEM3Z,Contoso Motors,2006,Coupe,115,883,FWD,4 Cylinder,Manual,Electric Blue,Red
CBBAZP0M5MBYTXLF3,Contoso Motors,2013,Hybrid,116,116,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
5L2GJRKV27YOM6Z3R,Contoso Motors,2016,SUV,117,55,FWD,6 Cylinder,Automatic,Blue,Black
JVITFBM1K8F6P8O0H,Contoso Motors,2012,Commercial,118,631,AWD,8 Cylinder,Automatic,Gray,Dark Gray
0LYX3XH2KQYH4N1HH,Contoso Motors,2016,Convertible 2DR,119,119,FWD,6 Cylinder,Automatic,Electric Blue,Red
AD91ZJFRBAZDLZEHD,Contoso Motors,2007,SUV,120,62,FWD,3 Cylinder,Automatic,Blue,Black
KCF1B6NPOS4RDK0HR,Contoso Motors,2004,SUV,121,65,FWD,Electric,Automatic,Blue,Black
VVR5QYAX0BY9F80GL,Contoso Motors,2015,Minivan,122,122,FWD,6 Cylinder,Automatic,Volcanic Orange,White
84WCQ14XBWR8VNEY6,Contoso Motors,2011,Crossover,123,69,FWD,10 Cylinder,Automatic,Blue,Black
SV94DVYSPT74V7ROW,Contoso Motors,2004,Minivan,124,124,FWD,6 Cylinder,Automatic,Blue,Old Lace
CM6WVRC0NHBFWEITJ,Contoso Motors,2005,SUV,125,70,FWD,12 Cylinder,Automatic,Blue,Black
141PHXSEFBVZ60Z6U,Contoso Motors,2007,Minivan,126,126,FWD,6 Cylinder,Automatic,Deep Blue,Brown
PRUQC9HEW3JMSEYZL,Contoso Motors,2016,Minivan,127,127,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
VVL9DCWP2BR82PVZT,Contoso Motors,2011,Minivan,128,128,FWD,6 Cylinder,Automatic,White Silver,Smoke White
12H3A1VTFIBICG08V,Contoso Motors,2004,Minivan,129,129,FWD,6 Cylinder,Automatic,Racing Green,Beige
LW0D9X0CSULXMVFW8,Contoso Motors,2005,Minivan,130,130,FWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg
9PZJ20GGBXZNHUWEJ,Contoso Motors,2013,Sedan,131,342,FWD,6 Cylinder,Manual,Thunder Gray,Gray
DU8GQ0ORH2QR7MYL6,Contoso Motors,2014,Hatchback,132,155,FWD,6 Cylinder,Automatic,Deep Blue,White
0D94JQQVVLFJHGWG3,Contoso Motors,2007,Sedan,133,402,AWD,10 Cylinder,Manual,Volcanic Orange,White
P7178468GYLAA3O81,Contoso Motors,2005,Sedan,134,462,RWD,10 Cylinder,Manual,Blue,Old Lace
HYY0HVD6WBPS62RQL,Contoso Motors,2011,SUV,135,85,FWD,8 Cylinder,Automatic,Blue,Black
YIACHKQLKD47DJ7GZ,Contoso Motors,2016,Truck,136,779,AWD,12 Cylinder,Automatic,Black,Black
T5E2KFO1FDN6M7WCH,Contoso Motors,2005,Truck,137,882,FWD,12 Cylinder,Automatic,Black,Black
P6GN82OKKZUINQJMH,Contoso Motors,2011,Hatchback,138,387,FWD,6 Cylinder,Automatic,Deep Blue,White
IHJIZ2RW4KTMKJNJP,Contoso Motors,2016,Hatchback,139,395,AWD,6 Cylinder,Automatic,Deep Blue,White
TV6LN1B3KPQJEH1TZ,Contoso Motors,2016,Minivan,140,140,FWD,6 Cylinder,Automatic,White Silver,Smoke White
Z20AU24O1TLEW8IJ7,Contoso Motors,2011,Minivan,141,141,FWD,6 Cylinder,Automatic,Racing Green,Beige
RUVB2F10GV9F5KEGZ,Contoso Motors,2005,SUV,142,88,FWD,Electric,Automatic,Blue,Black
01MWFV89QBUM2NDIH,Contoso Motors,2013,Hatchback,143,531,FWD,6 Cylinder,Automatic,Deep Blue,White
CC9O3GNGXD4IYVHZL,Contoso Motors,2012,Truck,144,19,FWD,12 Cylinder,Automatic,Black,Black
RQWE40TVB2JF104UO,Contoso Motors,2007,SUV,145,89,FWD,Hybrid,Automatic,Blue,Black
DB2JXBWBLCL09FJFU,Contoso Motors,2016,Sedan,146,207,AWD,12 Cylinder,Manual,Silver,Ivory
HUSDFMYIX8AUMMBSZ,Contoso Motors,2007,Hatchback,147,583,FWD,6 Cylinder,Automatic,Deep Blue,White
A850GFNHN2T5ZBWLU,Contoso Motors,2016,Minivan,148,148,FWD,6 Cylinder,Automatic,Blue,Old Lace
X87GMLMPI3N3452EH,Contoso Motors,2011,Crossover,149,91,FWD,Electric,Automatic,Blue,Black
KJTMQ3YDP3J4E0AUM,Contoso Motors,2005,Crossover,150,93,FWD,6 Cylinder,Automatic,Blue,Black
FXM5KQA4V1RLWO50C,Contoso Motors,2012,Commercial,151,679,AWD,8 Cylinder,Automatic,Gray,Dark Gray
LI496C6SXJN1DYY8R,Contoso Motors,2013,Convertible 2DR,152,152,FWD,Hybrid,Automatic,White Silver,Smoke White
3KU61YXFMS3SB9VYH,Contoso Motors,2007,Coupe,153,891,FWD,4 Cylinder,Manual,Racing Green,Beige
HO0BS98YQQ93PNGOM,Contoso Motors,2013,Hybrid,154,154,FWD,Hybrid,Semi-automatic,Blazing Gray,Nutmeg
MCSX0IY7P1G69F443,Contoso Motors,2007,Truck,155,643,RWD,12 Cylinder,Automatic,Black,Black
X7MUMNEC7K6AVZTA8,Contoso Motors,2014,Hatchback,156,771,FWD,6 Cylinder,Automatic,Deep Blue,White
0NJ3E4WL55FTM9EJ6,Contoso Motors,2015,Sedan,157,386,AWD,12 Cylinder,Manual,White Silver,Smoke White
G8VIZT4JT1BG4XGEZ,Contoso Motors,2005,Sedan,158,446,FWD,12 Cylinder,Manual,White Silver,Smoke White
9SYGOXZYVTWS1RXQR,Contoso Motors,2016,Sedan,159,515,FWD,10 Cylinder,Manual,Midnight Black,Silverstone
AIMYX6V6VUQQ6NJBO,Contoso Motors,2016,Hatchback,160,967,AWD,6 Cylinder,Automatic,Deep Blue,White
16K43B9EXZJ2XJTPJ,Contoso Motors,2005,Truck,161,890,FWD,12 Cylinder,Automatic,Black,Black
HS8OGPYC88OR70ELE,Contoso Motors,2006,Truck,162,27,AWD,12 Cylinder,Automatic,Black,Black
74J2KIPUKN126DB68,Contoso Motors,2004,Coupe,163,131,FWD,4 Cylinder,Manual,Pepper White,Dark Gray
3MLZGU0B95D1V3MZS,Contoso Motors,2013,Hybrid,164,164,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
N81KF5CPUBAPCNID8,Contoso Motors,2013,SUV,165,103,FWD,Hybrid,Automatic,Blue,Black
5YHTI7I7HUGG0QAU7,Contoso Motors,2012,Commercial,166,694,AWD,8 Cylinder,Automatic,Gray,Dark Gray
FBQ93S6GERDWDGI3B,Contoso Motors,2013,Convertible 2DR,167,167,AWD,Hybrid,Automatic,Electric Blue,Red
JLUW83P79X3MWNGQ3,Contoso Motors,2005,SUV,168,110,FWD,4 Cylinder,Automatic,Blue,Black
QJ30CU7JAYM60OIG4,Contoso Motors,2011,SUV,169,113,RWD,4 Cylinder,Automatic,Blue,Black
BTQDYNLSULF1I6XSY,Contoso Motors,2011,Minivan,170,170,FWD,6 Cylinder,Automatic,Volcanic Orange,White
5DD9KEOGLLIQ68U1V,Contoso Motors,2004,Crossover,171,117,AWD,6 Cylinder,Automatic,Blue,Black
VXPIIX3G3WFJQQGJP,Contoso Motors,2011,Minivan,172,172,FWD,6 Cylinder,Automatic,Blue,Old Lace
FJ80LSTGDWVA9R23E,Contoso Motors,2005,SUV,173,158,FWD,Hybrid,Automatic,Blue,Black
2OFBAAU8GA3IORDDJ,Contoso Motors,2005,Minivan,174,174,FWD,6 Cylinder,Automatic,Deep Blue,Brown
9J2KVIVC0M0MX0C7J,Contoso Motors,2007,Minivan,175,175,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone
DW8HNGPJFSUCSJQ45,Contoso Motors,2016,Minivan,176,176,FWD,6 Cylinder,Automatic,White Silver,Smoke White
HM2PUCY2VW99H5LJP,Contoso Motors,2011,Minivan,177,177,FWD,6 Cylinder,Automatic,Racing Green,Beige
ZV6LW5PM03ILMLXQ8,Contoso Motors,2005,Minivan,178,178,FWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg
O49ITMGKTW81HWWV1,Contoso Motors,2007,Sedan,179,566,AWD,10 Cylinder,Manual,Thunder Gray,Gray
M7SFAP1ED7VNVNWXF,Contoso Motors,2015,Wagon,180,10,AWD,6 Cylinder,Automatic,Deep Blue,Nutmeg
KYCXVEM3JY5QN6JCU,Contoso Motors,2013,Sedan,181,626,FWD,10 Cylinder,Manual,Thunder Gray,Gray
6M8D18I4CCYRZH4LO,Contoso Motors,2016,Sedan,182,831,FWD,10 Cylinder,Manual,Silver,Ivory
36NUFUIMP760EPS2D,Contoso Motors,2009,SUV,183,262,AWD,Hybrid,Automatic,Blue,Black
XUE4MP2SHKKTSPQBB,Contoso Motors,2009,Truck,184,130,FWD,12 Cylinder,Automatic,Black,Black
GHLUB6ONKMOSI7E77,Contoso Motors,2014,Truck,185,11,FWD,6 Cylinder,Automatic,Black,Black
JEVBYNRKCFY0AXG4M,Contoso Motors,2016,Hatchback,186,19,FWD,6 Cylinder,Automatic,Deep Blue,Silverstone
DXWRKFLC7Z7DIB5B9,Contoso Motors,2004,Hatchback,187,395,FWD,6 Cylinder,Automatic,Deep Blue,Silverstone
1SZ0YBL52GH4DU6R4,Contoso Motors,2015,Minivan,188,188,FWD,6 Cylinder,Automatic,White Silver,Smoke White
6PQGV44MP0RW7K19T,Contoso Motors,2004,Minivan,189,189,FWD,6 Cylinder,Automatic,Racing Green,Beige
G6X4F0WSMSM8R3RN0,Contoso Motors,2016,SUV,190,310,FWD,4 Cylinder,Automatic,Blue,Black
DSMFG6SQSPZG5TK43,Contoso Motors,2013,Hatchback,191,403,AWD,6 Cylinder,Automatic,Deep Blue,Black
2UM8372QJ1AUJ4V9H,Contoso Motors,2016,Truck,192,251,FWD,6 Cylinder,Automatic,Black,Black
W9FTHG27LZN1YWO0Y,Contoso Motors,2004,Crossover,193,5,FWD,Electric,Automatic,Chili Red,Black
C3TJEP9O4OHLFOYEK,Contoso Motors,2004,Sedan,194,899,FWD,10 Cylinder,Manual,Chili Red,Black
YDBOVMH3U2UZT76UA,Contoso Motors,2007,Hatchback,195,191,FWD,6 Cylinder,Automatic,Pepper White,Black
TSH5CTQ742NK69LT0,Contoso Motors,2005,Minivan,196,196,FWD,6 Cylinder,Automatic,Deep Blue,Brown
8OMCL3LGI7XNCC21U,Contoso Motors,2014,Crossover,197,29,FWD,Hybrid,Automatic,Chili Red,Black
U30I1WB31T9XBKCMY,Contoso Motors,2011,Crossover,198,53,FWD,4 Cylinder,Automatic,Chili Red,Black
550JLST7HPQGU70AN,Contoso Motors,2012,Commercial,199,742,AWD,8 Cylinder,Automatic,Gray,Dark Gray
1SJG95N3TFJLZL4CY,Contoso Motors,2004,Convertible 2DR,200,200,AWD,6 Cylinder,Automatic,Blazing Gray,Nutmeg
M3T7ZNZQJDDLJ7XQ9,Contoso Motors,2005,Coupe,201,345,AWD,4 Cylinder,Manual,Pepper White,Dark Gray
MGQP7XL2GZFICD0QY,Contoso Motors,2013,Hybrid,202,202,FWD,Hybrid,Semi-automatic,Thunder Gray,Gray
K3HRWTZJT22XAPRBY,Contoso Motors,2010,Truck,203,498,FWD,6 Cylinder,Automatic,Black,Black
XI9TFYQUDKQWA44IS,Contoso Motors,2013,Hatchback,204,387,AWD,6 Cylinder,Automatic,Racing Green,Black
JVBSIRUIUUIRT2Z3A,Contoso Motors,2013,Sedan,205,215,AWD,10 Cylinder,Manual,Pepper White,Dark Gray
U3Q20OC4V7OVZQD64,Contoso Motors,2013,Sedan,206,523,RWD,12 Cylinder,Automatic,Silver,Ivory
3RULDLY2XJX5W03EH,Contoso Motors,2015,Sedan,207,574,AWD,6 Cylinder,Automatic,White Silver,Smoke White
ANNL32RN5YYDC1616,Contoso Motors,2005,Wagon,208,618,FWD,6 Cylinder,Automatic,Blue,Black
8KQI9U6PZ45G0G46X,Contoso Motors,2013,Truck,209,259,FWD,6 Cylinder,Automatic,Black,Black
IEYRW40VBV7K32V6L,Contoso Motors,2015,Truck,210,746,FWD,6 Cylinder,Automatic,Black,Black
AAJQER5038Q78UOTV,Contoso Motors,2004,Coupe,211,489,AWD,4 Cylinder,Manual,Silver,Ivory
SZVVERBWRBYG17PTU,Contoso Motors,2013,Hybrid,212,212,FWD,Hybrid,Semi-automatic,Blazing Gray,Nutmeg
PGCWPNBZ6LQ21PF9T,Contoso Motors,2014,Crossover,213,77,FWD,8 Cylinder,Automatic,Chili Red,Black
2F542XPU60LRXCNNQ,Contoso Motors,2012,Commercial,214,790,AWD,8 Cylinder,Automatic,Gray,Dark Gray
LP9A6PXHGPDYCT154,Contoso Motors,2016,Convertible 2DR,215,215,FWD,Hybrid,Automatic,Pepper White,Dark Gray
9IHEP7L28HBMWVEY7,Contoso Motors,2013,Crossover,216,123,FWD,4 Cylinder,Automatic,Chili Red,Black
RQ32V8PDJTE5UQSHQ,Contoso Motors,2006,SUV,217,135,AWD,Hybrid,Automatic,Chili Red,Black
KFMFVCNXDSN30IXN0,Contoso Motors,2005,Minivan,218,218,FWD,6 Cylinder,Automatic,Blue,Old Lace
